"relative_path","classification","lane","lineage_hint","bytes","last_write_time","sha256"
"artifacts\phase2a2_patch_cycle_3\phase2a2_patch_cycle_3_report.md","REVIEW","DCSE-CP","Prior staged review/artifact lineage","1636","2026-05-11T22:59:25","E0305A978BBB7CCC7CB74F37DE15E6EC8F92B4E7498D509BDC2492EBC1BDDA5D"
"artifacts\phase2a2_patch_cycle_4\ag_self_check_report.json","REVIEW","DCSE-CP","Prior staged review/artifact lineage","418","2026-05-11T23:04:57","B85C4641F0D0FF638538A3EF72343BA58E19BCDEB5887FDD6F01FFB8429CC0A6"
"artifacts\phase2a2_patch_cycle_4\ag_self_check_report.md","REVIEW","DCSE-CP","Prior staged review/artifact lineage","1210","2026-05-11T23:04:56","7570402F8E4B3D02FF724AB9541FDBA33A1A4F81A665652AB09E3B626D38FDD1"
"artifacts\phase2a2_patch_cycle_4\phase2a2_patch_cycle_4_file_manifest.json","REVIEW","DCSE-CP","Prior staged review/artifact lineage","1992","2026-05-11T23:06:06","2185BCE00287C44ABB3ED7962FA4BB089FF35E29407F21B720184277D025D036"
"artifacts\phase2a2_patch_cycle_4\phase2a2_patch_cycle_4_report.json","REVIEW","DCSE-CP","Prior staged review/artifact lineage","853","2026-05-11T23:04:54","AF0129FE2E3EC3BD0461D063AE00881E1A81ADC50828AB795B69D6BC46C7BBCD"
"artifacts\phase2a2_patch_cycle_4\phase2a2_patch_cycle_4_report.md","REVIEW","DCSE-CP","Prior staged review/artifact lineage","1814","2026-05-11T23:04:53","9D895BD8F36CA11762848CA0CEA893218CCF706EDA5E49C0382D6315219DC234"
"artifacts\pilot_manifest.json","ACTIVE","DCSE-CP","Root project/source lineage","18222","2026-05-11T17:07:14","B5B3FE8202778850F665F9AABE8FCE987B06128C8A5DDCFFBB45772F7DCDA30D"
"artifacts\restricted\ti_ps_litigation\Seals_v_DHHS\Litigation Evidence Table 1.md","ARCHIVE","PS","Root project/source lineage","2942","2026-05-07T13:49:40","985106429B06D9A4B36E02FA166634BDA42E9B2B7AB2173CC0EE0C790F4D383C"
"artifacts\restricted\v6_pre_execution_backup_20260513_000555.sql","ARCHIVE","PS","Root project/source lineage","27337","2026-05-13T00:05:58","E5750922443C86A07FE1A70E76AD7AAEB7A639642236BFDF1EA11ABF907532AA"
"cloudflared_error.log","SUPPORT","DCSE-CP","Root project/source lineage","2797","2026-05-23T13:45:26","77F84544BE31C3A1F6D3CB9CA5ABDE81DFA1C7857AFE0DB59019BF85B095B68F"
